compra1,0,400,1,400,2001,400,4001,400,6001,400,8001
compra2,0,400,2,400,2002,400,4002,400,6002,400,8001
compra3,0,400,3,400,2003,400,4003,400,6003,400,8001
compra4,0,400,4,400,2004,400,4004,400,6004,400,8001
compra5,0,400,5,400,2005,400,4005,400,6005,400,8001
compra6,0,400,6,400,2006,400,4006,400,6006,400,8001
compra7,0,400,7,400,2007,400,4007,400,6007,400,8001
compra8,0,400,8,400,2008,400,4008,400,6008,400,8001
compra9,0,400,9,400,2009,400,4009,400,6009,400,8001
compra10,0,400,10,400,2010,400,4010,400,6010,400,8001
compra11,0,400,11,400,2011,400,4011,400,6011,400,8001
compra12,0,400,12,400,2012,400,4012,400,6012,400,8001
compra13,0,400,13,400,2013,400,4013,400,6013,400,8001
compra14,0,400,14,400,2014,400,4014,400,6014,400,8001
compra15,0,400,15,400,2015,400,4015,400,6015,400,8001
compra16,0,400,16,400,2016,400,4016,400,6016,400,8001
compra17,0,400,17,400,2017,400,4017,400,6017,400,8001
compra18,0,400,18,400,2018,400,4018,400,6018,400,8001
compra19,0,400,19,400,2019,400,4019,400,6019,400,8001
compra20,0,400,20,400,2020,400,4020,400,6020,400,8001
compra21,0,400,21,400,2021,400,4021,400,6021,400,8001
compra22,0,400,22,400,2022,400,4022,400,6022,400,8001
compra23,0,400,23,400,2023,400,4023,400,6023,400,8001
compra24,0,400,24,400,2024,400,4024,400,6024,400,8001
compra25,0,400,25,400,2025,400,4025,400,6025,400,8001
compra26,0,400,26,400,2026,400,4026,400,6026,400,8001
compra27,0,400,27,400,2027,400,4027,400,6027,400,8001
compra28,0,400,28,400,2028,400,4028,400,6028,400,8001
compra29,0,400,29,400,2029,400,4029,400,6029,400,8001
compra30,0,400,30,400,2030,400,4030,400,6030,400,8001
compra31,0,400,31,400,2031,400,4031,400,6031,400,8001
compra32,0,400,32,400,2032,400,4032,400,6032,400,8001
compra33,0,400,33,400,2033,400,4033,400,6033,400,8001
compra34,0,400,34,400,2034,400,4034,400,6034,400,8001
compra35,0,400,35,400,2035,400,4035,400,6035,400,8001
compra36,0,400,36,400,2036,400,4036,400,6036,400,8001
compra37,0,400,37,400,2037,400,4037,400,6037,400,8001
compra38,0,400,38,400,2038,400,4038,400,6038,400,8001
compra39,0,400,39,400,2039,400,4039,400,6039,400,8001
compra40,0,400,40,400,2040,400,4040,400,6040,400,8001
compra41,0,400,41,400,2041,400,4041,400,6041,400,8001
compra42,0,400,42,400,2042,400,4042,400,6042,400,8001
compra43,0,400,43,400,2043,400,4043,400,6043,400,8001
compra44,0,400,44,400,2044,400,4044,400,6044,400,8001
compra45,0,400,45,400,2045,400,4045,400,6045,400,8001
compra46,0,400,46,400,2046,400,4046,400,6046,400,8001
compra47,0,400,47,400,2047,400,4047,400,6047,400,8001
compra48,0,400,48,400,2048,400,4048,400,6048,400,8001
compra49,0,400,49,400,2049,400,4049,400,6049,400,8001
compra50,0,400,50,400,2050,400,4050,400,6050,400,8001
compra51,0,400,51,400,2051,400,4051,400,6051,400,8001
compra52,0,400,52,400,2052,400,4052,400,6052,400,8001
compra53,0,400,53,400,2053,400,4053,400,6053,400,8001
compra54,0,400,54,400,2054,400,4054,400,6054,400,8001
compra55,0,400,55,400,2055,400,4055,400,6055,400,8001
compra56,0,400,56,400,2056,400,4056,400,6056,400,8001
compra57,0,400,57,400,2057,400,4057,400,6057,400,8001
compra58,0,400,58,400,2058,400,4058,400,6058,400,8001
compra59,0,400,59,400,2059,400,4059,400,6059,400,8001
compra60,0,400,60,400,2060,400,4060,400,6060,400,8001
compra61,0,400,61,400,2061,400,4061,400,6061,400,8001
compra62,0,400,62,400,2062,400,4062,400,6062,400,8001
compra63,0,400,63,400,2063,400,4063,400,6063,400,8001
compra64,0,400,64,400,2064,400,4064,400,6064,400,8001
compra65,0,400,65,400,2065,400,4065,400,6065,400,8001
compra66,0,400,66,400,2066,400,4066,400,6066,400,8001
compra67,0,400,67,400,2067,400,4067,400,6067,400,8001
compra68,0,400,68,400,2068,400,4068,400,6068,400,8001
compra69,0,400,69,400,2069,400,4069,400,6069,400,8001
compra70,0,400,70,400,2070,400,4070,400,6070,400,8001
compra71,0,400,71,400,2071,400,4071,400,6071,400,8001
compra72,0,400,72,400,2072,400,4072,400,6072,400,8001
compra73,0,400,73,400,2073,400,4073,400,6073,400,8001
compra74,0,400,74,400,2074,400,4074,400,6074,400,8001
compra75,0,400,75,400,2075,400,4075,400,6075,400,8001
compra76,0,400,76,400,2076,400,4076,400,6076,400,8001
compra77,0,400,77,400,2077,400,4077,400,6077,400,8001
compra78,0,400,78,400,2078,400,4078,400,6078,400,8001
compra79,0,400,79,400,2079,400,4079,400,6079,400,8001
compra80,0,400,80,400,2080,400,4080,400,6080,400,8001
compra81,0,400,81,400,2081,400,4081,400,6081,400,8001
compra82,0,400,82,400,2082,400,4082,400,6082,400,8001
compra83,0,400,83,400,2083,400,4083,400,6083,400,8001
compra84,0,400,84,400,2084,400,4084,400,6084,400,8001
compra85,0,400,85,400,2085,400,4085,400,6085,400,8001
compra86,0,400,86,400,2086,400,4086,400,6086,400,8001
compra87,0,400,87,400,2087,400,4087,400,6087,400,8001
compra88,0,400,88,400,2088,400,4088,400,6088,400,8001
compra89,0,400,89,400,2089,400,4089,400,6089,400,8001
compra90,0,400,90,400,2090,400,4090,400,6090,400,8001
compra91,0,400,91,400,2091,400,4091,400,6091,400,8001
compra92,0,400,92,400,2092,400,4092,400,6092,400,8001
compra93,0,400,93,400,2093,400,4093,400,6093,400,8001
compra94,0,400,94,400,2094,400,4094,400,6094,400,8001
compra95,0,400,95,400,2095,400,4095,400,6095,400,8001
compra96,0,400,96,400,2096,400,4096,400,6096,400,8001
compra97,0,400,97,400,2097,400,4097,400,6097,400,8001
compra98,0,400,98,400,2098,400,4098,400,6098,400,8001
compra99,0,400,99,400,2099,400,4099,400,6099,400,8001
compra100,0,400,100,400,2100,400,4100,400,6100,400,8001
compra101,0,400,101,400,2101,400,4101,400,6101,400,8001
compra102,0,400,102,400,2102,400,4102,400,6102,400,8001
compra103,0,400,103,400,2103,400,4103,400,6103,400,8001
compra104,0,400,104,400,2104,400,4104,400,6104,400,8001
compra105,0,400,105,400,2105,400,4105,400,6105,400,8001
compra106,0,400,106,400,2106,400,4106,400,6106,400,8001
compra107,0,400,107,400,2107,400,4107,400,6107,400,8001
compra108,0,400,108,400,2108,400,4108,400,6108,400,8001
compra109,0,400,109,400,2109,400,4109,400,6109,400,8001
compra110,0,400,110,400,2110,400,4110,400,6110,400,8001
compra111,0,400,111,400,2111,400,4111,400,6111,400,8001
compra112,0,400,112,400,2112,400,4112,400,6112,400,8001
compra113,0,400,113,400,2113,400,4113,400,6113,400,8001
compra114,0,400,114,400,2114,400,4114,400,6114,400,8001
compra115,0,400,115,400,2115,400,4115,400,6115,400,8001
compra116,0,400,116,400,2116,400,4116,400,6116,400,8001
compra117,0,400,117,400,2117,400,4117,400,6117,400,8001
compra118,0,400,118,400,2118,400,4118,400,6118,400,8001
compra119,0,400,119,400,2119,400,4119,400,6119,400,8001
compra120,0,400,120,400,2120,400,4120,400,6120,400,8001
compra121,0,400,121,400,2121,400,4121,400,6121,400,8001
compra122,0,400,122,400,2122,400,4122,400,6122,400,8001
compra123,0,400,123,400,2123,400,4123,400,6123,400,8001
compra124,0,400,124,400,2124,400,4124,400,6124,400,8001
compra125,0,400,125,400,2125,400,4125,400,6125,400,8001
compra126,0,400,126,400,2126,400,4126,400,6126,400,8001
